"","en","zh-CN","de","es","fr","ja","pl","ru"
"MISSION_6_INTRO_2","Our intel suggests, that this city is where it all started. Rebel activity appears to have lessened since the initial attack - they probably moved on.","Our intel suggests, that this city is where it all started. Rebel activity appears to have lessened since the initial attack - they probably moved on.","Our intel suggests, that this city is where it all started. Rebel activity appears to have lessened since the initial attack - they probably moved on.","Nuestra inteligencia sugiere que esta ciudad es donde todo comenzó. La actividad rebelde parece haber disminuido desde el ataque inicial - probablemente continuaron.","Our intel suggests, that this city is where it all started. Rebel activity appears to have lessened since the initial attack - they probably moved on.","Our intel suggests, that this city is where it all started. Rebel activity appears to have lessened since the initial attack - they probably moved on.","Nasz wywiad sugeruje, że rebelia rozpoczęła się właśnie w tym mieście. Aktywność milicji wydaje się teraz mniejsza - zapewne przesunęli siły w inne miejsce.","Our intel suggests, that this city is where it all started. Rebel activity appears to have lessened since the initial attack - they probably moved on."
"MISSION_6_INTRO_3","Still, we should not underestimate the garrison stationed here. Liberating this city will be an important step in our campaign.","Still, we should not underestimate the garrison stationed here. Liberating this city will be an important step in our campaign.","Still, we should not underestimate the garrison stationed here. Liberating this city will be an important step in our campaign.","Aún así, no debemos subestimar la guarnición estacionada aquí. La liberación de esta ciudad será un paso importante en nuestra campaña.","Still, we should not underestimate the garrison stationed here. Liberating this city will be an important step in our campaign.","Still, we should not underestimate the garrison stationed here. Liberating this city will be an important step in our campaign.","Mimo to nie powinniśmy traktować tego ataku jako łatwego. Wyzwolenie miasta będzie ważnym krokiem w naszej kampanii.","Still, we should not underestimate the garrison stationed here. Liberating this city will be an important step in our campaign."
"MISSION_6_INTRO_4","Sir, the base of operations is up and running.","Sir, the base of operations is up and running.","Sir, the base of operations is up and running.","Señor, la base de operaciones está funcionando.","Sir, the base of operations is up and running.","Sir, the base of operations is up and running.","Nasza baza jest ukończona i gotowa.","Sir, the base of operations is up and running."
"MISSION_6_INTRO_5","Good.","Good.","Good.","Bien.","Good.","Good.","Dobrze.","Good."
"MISSION_6_INTRO_6","Air support reporting in.","Air support reporting in.","Air support reporting in.","Soporte aéreo reportando.","Air support reporting in.","Air support reporting in.","Wsparcie powietrzne melduje się.","Air support reporting in."
"MISSION_6_INTRO_7","We've got decent amount of ground units, though our air capabilities are limited for this engagement. Use these assets well.","We've got decent amount of ground units, though our air capabilities are limited for this engagement. Use these assets well.","We've got decent amount of ground units, though our air capabilities are limited for this engagement. Use these assets well.","Tenemos una cantidad decente de unidades terrestres, aunque nuestras capacidades aéreas son limitadas para este combate. Usa bien estos activos.","We've got decent amount of ground units, though our air capabilities are limited for this engagement. Use these assets well.","We've got decent amount of ground units, though our air capabilities are limited for this engagement. Use these assets well.","Mamy sporą ilość sił naziemnych, ale nasze możliwości w powietrzu są ograniczone. Musimy użyć ich najlepiej jak się da.","We've got decent amount of ground units, though our air capabilities are limited for this engagement. Use these assets well."
"MISSION_6_PATROL_1","Patrol squad reporting back.","Patrol squad reporting back.","Patrol squad reporting back.","Escuadrón de patrulla informando.","Patrol squad reporting back.","Patrol squad reporting back.","Oddział patrolowy zgłasza zakończenie misji.","Patrol squad reporting back."
"MISSION_6_PATROL_2","No rest for you, we are under attack!","No rest for you, we are under attack!","No rest for you, we are under attack!","No hay descanso, ¡estamos bajo ataque!","No rest for you, we are under attack!","No rest for you, we are under attack!","Jeszcze nie, jesteśmy atakowani!","No rest for you, we are under attack!"
"MISSION_6_RED_HQ_1","We are loosing ground! Warn the Commander!","We are loosing ground! Warn the Commander!","We are loosing ground! Warn the Commander!","¡Estamos perdiendo terreno! Advierte al Comandante","We are loosing ground! Warn the Commander!","We are loosing ground! Warn the Commander!","Przegrywamy tą bitwę! Powiadomcie dowódcę!","We are loosing ground! Warn the Commander!"
"MISSION_6_RED_HQ_2","Yes Sir!","Yes Sir!","Yes Sir!","¡Sí Señor!","Yes Sir!","Yes Sir!","Tak jest!","Yes Sir!"
"MISSION_6_RED_HQ_3","He got away. Doesn't matter, let's focus on the mission at hand.","He got away. Doesn't matter, let's focus on the mission at hand.","He got away. Doesn't matter, let's focus on the mission at hand.","Se escapó. No importa, centrémonos en la misión que tenemos entre manos.","He got away. Doesn't matter, let's focus on the mission at hand.","He got away. Doesn't matter, let's focus on the mission at hand.","Zdołał uciec. To bez znaczenia, skupmy się na obecnym zadaniu.","He got away. Doesn't matter, let's focus on the mission at hand."
"MISSION_7_BASE_1","You might think you are winning, but this is only a minor setback. We will be back, and in greater numbers!","You might think you are winning, but this is only a minor setback. We will be back, and in greater numbers!","You might think you are winning, but this is only a minor setback. We will be back, and in greater numbers!","Podrías pensar que estás ganando, pero esto es solo un pequeño revés. ¡Volveremos, y en mayor cantidad!","You might think you are winning, but this is only a minor setback. We will be back, and in greater numbers!","You might think you are winning, but this is only a minor setback. We will be back, and in greater numbers!","Może się wam wydawać, że wygraliście, ale to tylko niewielka porażka dla nas. Powrócimy tu z większymi siłami!","You might think you are winning, but this is only a minor setback. We will be back, and in greater numbers!"
"MISSION_7_BASE_2","We will see about that.","We will see about that.","We will see about that.","Ya lo veremos.","We will see about that.","We will see about that.","To się jeszcze okaże.","We will see about that."
"MISSION_7_INTRO_1","Alarm! Unidentified troops spotted near the base perimeter!","Alarm! Unidentified troops spotted near the base perimeter!","Alarm! Unidentified troops spotted near the base perimeter!","¡Alarma! ¡Tropas no identificadas detectadas cerca del perímetro de la base!","Alarm! Unidentified troops spotted near the base perimeter!","Alarm! Unidentified troops spotted near the base perimeter!","Alarm! Niezidentyfikowany oddział piechoty zauważony w pobliżu bazy!","Alarm! Unidentified troops spotted near the base perimeter!"
"MISSION_7_INTRO_2","They spotted us! Commence the attack!","They spotted us! Commence the attack!","They spotted us! Commence the attack!","¡Nos vieron! ¡Comenzar el ataque!","They spotted us! Commence the attack!","They spotted us! Commence the attack!","Odkryli nas! Rozpocząć szturm!","They spotted us! Commence the attack!"
"MISSION_7_INTRO_3","Sir! We had reports of enemy movements in the area, but we did not expect them to organize so fast.","Sir! We had reports of enemy movements in the area, but we did not expect them to organize so fast.","Sir! We had reports of enemy movements in the area, but we did not expect them to organize so fast.","¡Señor! Tuvimos informes de movimientos enemigos en el área, pero no esperábamos que se organizaran tan rápido.","Sir! We had reports of enemy movements in the area, but we did not expect them to organize so fast.","Sir! We had reports of enemy movements in the area, but we did not expect them to organize so fast.","Panie Generale! Otrzymaliśmy raporty o ruchach wojsk wroga w tym rejonie, ale nie spodziewaliśmy się zorganizowanego ataku tak szybko.","Sir! We had reports of enemy movements in the area, but we did not expect them to organize so fast."
"MISSION_7_INTRO_4","And they are taking the auxilary barracks! Tank factory is probably being attacked as well. We have to protect our flanks.","And they are taking the auxilary barracks! Tank factory is probably being attacked as well. We have to protect our flanks.","And they are taking the auxilary barracks! Tank factory is probably being attacked as well. We have to protect our flanks.","¡Están tomando los barracones auxiliares! La fábrica de tanques probablemente sea atacada también. Tenemos que proteger nuestros flancos.","And they are taking the auxilary barracks! Tank factory is probably being attacked as well. We have to protect our flanks.","And they are taking the auxilary barracks! Tank factory is probably being attacked as well. We have to protect our flanks.","Zamierzają przejąć baraki wsparcia! Fabryka czołgów zapewne też zostanie zaatakowana. Musimy zabezpieczyć flanki.","And they are taking the auxilary barracks! Tank factory is probably being attacked as well. We have to protect our flanks."
"MISSION_7_LEFT_CLAIMED","Left flank secure.","Left flank secure.","Left flank secure.","Flanco izquierdo seguro","Left flank secure.","Left flank secure.","Lewa flanka zabezpieczona.","Left flank secure."
"MISSION_7_RIGHT_CLAIMED","Right flank secure.","Right flank secure.","Right flank secure.","Flanco derecho seguro.","Right flank secure.","Right flank secure.","Prawa flanka zabezpieczona.","Right flank secure."
"MISSION_7_TOWERS_1","We've managed to take over enemy communication line and intercept some chatter about plans on attacking an airport.","We've managed to take over enemy communication line and intercept some chatter about plans on attacking an airport.","We've managed to take over enemy communication line and intercept some chatter about plans on attacking an airport.","Hemos logrado capturar la línea de comunicación enemiga e interceptar alguna charla sobre planes para atacar un aeropuerto.","We've managed to take over enemy communication line and intercept some chatter about plans on attacking an airport.","We've managed to take over enemy communication line and intercept some chatter about plans on attacking an airport.","Udało nam się przejąć linię komunikacyjną. Przechwyciliśmy transmisję wskazującą na atak na jakieś lotnisko.","We've managed to take over enemy communication line and intercept some chatter about plans on attacking an airport."
"MISSION_7_TOWERS_2","This cannot be good...","This cannot be good...","This cannot be good...","Esto no puede ser bueno...","This cannot be good...","This cannot be good...","To nie brzmi dobrze...","This cannot be good..."
"MISSION_7_TRAP","We've got you now!","We've got you now!","We've got you now!","¡Te tenemos!","We've got you now!","We've got you now!","Mamy was!","We've got you now!"
"MISSION_8_APP_AIRPORT","Target spotted.","Target spotted.","Target spotted.","Objetivo marcado.","Target spotted.","Target spotted.","Cel w zasięgu.","Target spotted."
"MISSION_8_BUY_HELI_1","Let's clear those tanks.","Let's clear those tanks.","Let's clear those tanks.","Vamos a limpiar esos tanques.","Let's clear those tanks.","Let's clear those tanks.","Zniszczmy trochę czołgów.","Let's clear those tanks."
"MISSION_8_BUY_HELI_2","Commander, while searching the airport we have found some documents left by the enemy officers.","Commander, while searching the airport we have found some documents left by the enemy officers.","Commander, while searching the airport we have found some documents left by the enemy officers.","Comandante, mientras buscábamos en el aeropuerto, hemos encontrado algunos documentos dejados por los oficiales enemigos.","Commander, while searching the airport we have found some documents left by the enemy officers.","Commander, while searching the airport we have found some documents left by the enemy officers.","Dowódco, w trakcie przeszukiwania lotniska natrafiliśmy na dokumenty pozostawione przez wycofujących się oficerów wroga.","Commander, while searching the airport we have found some documents left by the enemy officers."
"MISSION_8_BUY_HELI_3","It is some kind of flight schedule, probably for military supplies. We will make good use of this.","It is some kind of flight schedule, probably for military supplies. We will make good use of this.","It is some kind of flight schedule, probably for military supplies. We will make good use of this.","Es algún tipo de horario de vuelo, probablemente para suministros militares. Haremos buen uso de esto.","It is some kind of flight schedule, probably for military supplies. We will make good use of this.","It is some kind of flight schedule, probably for military supplies. We will make good use of this.","Wyglądają na plan przelotów, zapewne transporty wojskowe. Zrobimy z tego odpowiedni użytek.","It is some kind of flight schedule, probably for military supplies. We will make good use of this."
"MISSION_8_CAP_AIRPORT_1","Objective achieved.","Objective achieved.","Objective achieved.","Objetivo alcanzado.","Objective achieved.","Objective achieved.","Rozkaz wykonany.","Objective achieved."
"MISSION_8_CAP_AIRPORT_2","Now let's clear this area of enemy units, we can't risk loosing this terminal.","Now let's clear this area of enemy units, we can't risk loosing this terminal.","Now let's clear this area of enemy units, we can't risk loosing this terminal.","Ahora limpiemos esta área de unidades enemigas, no podemos arriesgarnos a perder esta terminal.","Now let's clear this area of enemy units, we can't risk loosing this terminal.","Now let's clear this area of enemy units, we can't risk loosing this terminal.","Teraz czas oczyścić to miasto z sił wroga - nie możemy ryzykować kontrataku i utraty terminala.","Now let's clear this area of enemy units, we can't risk loosing this terminal."
"MISSION_8_FACTORIES","Reiconessanse reports multiple tank factories in the area. Those helicopters will come really handy.","Reiconessanse reports multiple tank factories in the area. Those helicopters will come really handy.","Reiconessanse reports multiple tank factories in the area. Those helicopters will come really handy.","Reconocimiento reporta múltiples fábricas de tanques en el área. Esos helicópteros serán realmente útiles.","Reiconessanse reports multiple tank factories in the area. Those helicopters will come really handy.","Reiconessanse reports multiple tank factories in the area. Those helicopters will come really handy.","Rekonesans wykazał wiele fabryk czołgów w okolicy. Helikoptery bardzo się przydadzą.","Reiconessanse reports multiple tank factories in the area. Those helicopters will come really handy."
"MISSION_8_INTRO_1","Forward camp is ready, Commander.","Forward camp is ready, Commander.","Forward camp is ready, Commander.","El campamento delantero está listo, Comandante.","Forward camp is ready, Commander.","Forward camp is ready, Commander.","Baza wypadowa ukończona, Dowódco.","Forward camp is ready, Commander."
"MISSION_8_INTRO_2","Commander, let's get going.","Commander, let's get going.","Commander, let's get going.","Comandante, vámonos.","Commander, let's get going.","Commander, let's get going.","Czas ruszać.","Commander, let's get going."
"MISSION_8_INTRO_3","This is the local airport. It is not of high strategic importance, but loosing it will strike fear into enemies hearts.","This is the local airport. It is not of high strategic importance, but loosing it will strike fear into enemies hearts.","This is the local airport. It is not of high strategic importance, but loosing it will strike fear into enemies hearts.","Este es el aeropuerto local. No es de una gran importancia estratégica, pero perderlo causará temor en los corazones de los enemigos.","This is the local airport. It is not of high strategic importance, but loosing it will strike fear into enemies hearts.","This is the local airport. It is not of high strategic importance, but loosing it will strike fear into enemies hearts.","To jest lokalne lotnisko. Nie jest ono ważne strategicznie, ale jego utrata na pewno obniży morale naszego wroga.","This is the local airport. It is not of high strategic importance, but loosing it will strike fear into enemies hearts."
"MISSION_9_APP_HQ","Closing in on the designated area. AA guns ready for deployment.","Closing in on the designated area. AA guns ready for deployment.","Closing in on the designated area. AA guns ready for deployment.","Acercándose al área designada. Armas AA listas para su despliegue.","Closing in on the designated area. AA guns ready for deployment.","Closing in on the designated area. AA guns ready for deployment.","Zbliżamy się do wyznaczonego obszaru. Działa prezciwlotnicze gotowe do rozstawienia.","Closing in on the designated area. AA guns ready for deployment."
"MISSION_9_INTRO_1","If the information we aquired is correct, there should be a military plane flying over this area soon.","If the information we aquired is correct, there should be a military plane flying over this area soon.","If the information we aquired is correct, there should be a military plane flying over this area soon.","Si la información que adquirimos es correcta, debería de haber un avión militar volando sobre esta área pronto.","If the information we aquired is correct, there should be a military plane flying over this area soon.","If the information we aquired is correct, there should be a military plane flying over this area soon.","Jeżeli nasze informacje były prawdziwe, to niedługo powinien przelatywać w tej okolicy wojskowy transport.","If the information we aquired is correct, there should be a military plane flying over this area soon."
"MISSION_9_INTRO_2","We have identified best position to set up our AA emplacement, but it is currently occupied by the enemy.","We have identified best position to set up our AA emplacement, but it is currently occupied by the enemy.","We have identified best position to set up our AA emplacement, but it is currently occupied by the enemy.","Hemos identificado la mejor posición para establecer nuestro emplazamiento AA, pero actualmente está ocupado por el enemigo.","We have identified best position to set up our AA emplacement, but it is currently occupied by the enemy.","We have identified best position to set up our AA emplacement, but it is currently occupied by the enemy.","Zidentyfikowaliśmy najlepszą pozycję dla rozstawienia dział AA, lecz jest ona zajęta przez wroga.","We have identified best position to set up our AA emplacement, but it is currently occupied by the enemy."
"MISSION_9_INTRO_3","Our camp is still being developed. We have to capture facilities available throughout the city to bolster our forces.","Our camp is still being developed. We have to capture facilities available throughout the city to bolster our forces.","Our camp is still being developed. We have to capture facilities available throughout the city to bolster our forces.","Nuestro campamento aún se está desarrollando. Tenemos que capturar las instalaciones disponibles en toda la ciudad para reforzar nuestras fuerzas.","Our camp is still being developed. We have to capture facilities available throughout the city to bolster our forces.","Our camp is still being developed. We have to capture facilities available throughout the city to bolster our forces.","Nasz obóz jest nadal w budowie. Musimy skorzystać z budynków w mieście aby wzmocnić nasze siły.","Our camp is still being developed. We have to capture facilities available throughout the city to bolster our forces."
"MISSION_9_TURN10_1","The tracked vessel is closing in, we should hurry.","The tracked vessel is closing in, we should hurry.","The tracked vessel is closing in, we should hurry.","El buque rastreado se está cerrando, debemos apresurarnos.","The tracked vessel is closing in, we should hurry.","The tracked vessel is closing in, we should hurry.","Śledzony samolot jest już blisko, musimy się pospieszyć.","The tracked vessel is closing in, we should hurry."
"MISSION_9_TURN10_2","We are also tracking a group of attack helicopters. They might be heading your way.","We are also tracking a group of attack helicopters. They might be heading your way.","We are also tracking a group of attack helicopters. They might be heading your way.","También estamos rastreando un grupo de helicópteros de ataque. Podrían estar dirigiéndose hacia ti.","We are also tracking a group of attack helicopters. They might be heading your way.","We are also tracking a group of attack helicopters. They might be heading your way.","Zlokalizowaliśmy także oddział helikopterów. Mogą zmierzać w naszym kierunku.","We are also tracking a group of attack helicopters. They might be heading your way."
"MISSION_9_TURN15_1","The transport will be passing over any minute. We can still catch it.","The transport will be passing over any minute. We can still catch it.","The transport will be passing over any minute. We can still catch it.","El transporte pasará en cualquier momento. Todavía podemos atraparlo.","The transport will be passing over any minute. We can still catch it.","The transport will be passing over any minute. We can still catch it.","Transport będzie lada moment mijał naszą pozycję. Nadal mamy szansę.","The transport will be passing over any minute. We can still catch it."
"MISSION_9_TURN15_2","Eagle Squad ready for patrol duty... What is this? The base is under siege! Attack formation!","Eagle Squad ready for patrol duty... What is this? The base is under siege! Attack formation!","Eagle Squad ready for patrol duty... What is this? The base is under siege! Attack formation!","Escuadrón Eagle listo para patrullar ... ¿Qué es esto? ¡La base esta bajo asedio! ¡Formación de ataque!","Eagle Squad ready for patrol duty... What is this? The base is under siege! Attack formation!","Eagle Squad ready for patrol duty... What is this? The base is under siege! Attack formation!","Jednostka Orzeł gotowa do patrolu... Co tu się dzieje? Wróg zbliża się do bazy! Formacja szturmowa!","Eagle Squad ready for patrol duty... What is this? The base is under siege! Attack formation!"
"MISSION_9_TURN18_1","That airplane is already past our position. We have to prepare the attack now.","That airplane is already past our position. We have to prepare the attack now.","That airplane is already past our position. We have to prepare the attack now.","Ese avión está más allá de tu posición. Tenemos que preparar el ataque ahora.","That airplane is already past our position. We have to prepare the attack now.","That airplane is already past our position. We have to prepare the attack now.","Cel minął już naszą pozycję. Musimy zaatakować natychmiast.","That airplane is already past our position. We have to prepare the attack now."
"MISSION_9_TURN20_1","The target is out of reach. We have failed, Commander.","The target is out of reach. We have failed, Commander.","The target is out of reach. We have failed, Commander.","El objetivo está fuera de alcance. Hemos fallado, Comandante.","The target is out of reach. We have failed, Commander.","The target is out of reach. We have failed, Commander.","Cel jest poza zasięgiem. Zawiedliśmy, Dowódco.","The target is out of reach. We have failed, Commander."
"MISSION_9_TURN2_1","Long range radar that we captured on the peninsula just reported it is tracking a vessel coming from the west.","Long range radar that we captured on the peninsula just reported it is tracking a vessel coming from the west.","Long range radar that we captured on the peninsula just reported it is tracking a vessel coming from the west.","El radar de largo alcance que capturamos en la península acaba de informar que está rastreando un barco que viene del oeste.","Long range radar that we captured on the peninsula just reported it is tracking a vessel coming from the west.","Long range radar that we captured on the peninsula just reported it is tracking a vessel coming from the west.","Radar dalekiego zasięgu, który zajęliśmy na półwyspie, wykrył samolot zbliżający się od zachodu.","Long range radar that we captured on the peninsula just reported it is tracking a vessel coming from the west."
"MISSION_9_TURN2_2","We still have plenty of time, but we have to finish our mission before the window of opportunity closes.","We still have plenty of time, but we have to finish our mission before the window of opportunity closes.","We still have plenty of time, but we have to finish our mission before the window of opportunity closes.","Todavía tenemos mucho tiempo, pero tenemos que terminar nuestra misión antes de que termine nuestra oportunidad.","We still have plenty of time, but we have to finish our mission before the window of opportunity closes.","We still have plenty of time, but we have to finish our mission before the window of opportunity closes.","Wciąż mamy mnóstwo czasu, ale musimy zakończyć naszą misję zanim przegapimy naszą okazję.","We still have plenty of time, but we have to finish our mission before the window of opportunity closes."
"MISSION_DESR_AIRPLANE","Thanks to the airport equipment, we have intercepted communications about an important military aircraft flying over the area. We have identified the perfect spot to launch missiles from, but it is guarded by the enemy. Muster your forces and get into position to shoot down the transport!","Thanks to the airport equipment, we have intercepted communications about an important military aircraft flying over the area. We have identified the perfect spot to launch missiles from, but it is guarded by the enemy. Muster your forces and get into position to shoot down the transport!","Thanks to the airport equipment, we have intercepted communications about an important military aircraft flying over the area. We have identified the perfect spot to launch missiles from, but it is guarded by the enemy. Muster your forces and get into position to shoot down the transport!","Gracias al equipo del aeropuerto, hemos interceptado las comunicaciones sobre un importante avión militar que vuela sobre el área. Hemos identificado el lugar perfecto para lanzar misiles, pero está protegido por el enemigo. ¡Reúne fuerzas  y ponte en posición para derribar el transporte!","Grâce à l'équipement de l'aéroport, nous avons intercepté un message signalant un important avion militaire. Nous avons trouvé une zone de tir idéale pour lancer un missile et le descendre, mais elle est gardée par les ennemis. À l'attaque !","空港設備のおかげで、我々は、その地域を飛行する重要な軍用機に関する通信を傍受した。 我々はミサイル発射に最適な場所を特定したが、敵に守られている。 軍隊を集合して、輸送手段を撃墜する場所に入れ！","Dzięki wyposażeniu lotniska udało nam się przechwycić transmisję wskazującą na nadlatujący transport wojskowy. Udało nam się znaleźć idealne miejsce, na wykonanie ataku rakietowego, jest ono jednak strzeżone przez wroga. Zbierz swoje oddziały i zabezpiecz teren, aby zestrzelić transporter.","Благодаря оборудованию аэропорта, у нас есть место, где можно делать вертолеты. Мы идентифицировали вражеский пункт запуска ракет, но он хорошо защищен. Усильте защиту и захватите его, чтобы прекратить запуск оттуда ракет!"
"MISSION_DESR_AIRPORT_PT_1","Fighting between our militia and the government forces is not going as well as we had hoped. We need to show the world we are not giving up just yet. The nearby airport is not of huge strategic importance, but capturing it will be our manifestation of power!","Fighting between our militia and the government forces is not going as well as we had hoped. We need to show the world we are not giving up just yet. The nearby airport is not of huge strategic importance, but capturing it will be our manifestation of power!","Fighting between our militia and the government forces is not going as well as we had hoped. We need to show the world we are not giving up just yet. The nearby airport is not of huge strategic importance, but capturing it will be our manifestation of power!","La lucha entre nuestra milicia y las fuerzas gubernamentales no está yendo tan bien como esperábamos. Necesitamos mostrarle al mundo que aún no nos damos por vencidos. El aeropuerto cercano no es de gran importancia estratégica, ¡pero capturarlo será nuestra demostración de poder!","Nos combats contre les forces gouvernementales ne se déroulent pas aussi bien que prévu. Nous devons montrer au monde que nous ne baissons cependant pas les bras. L'aéroport voisin n'est pas stratégique mais sa prise sera un signe de notre puissance !","我々の民兵と政府軍の間の戦いは、我々が望んだように進んでいない。 我々がまだあきらめないことを、世界に示す必要がある。 近くの空港は戦略的に重要なものではないが、獲得することは、我々の威力を示すことになる！","Walki pomiędzy naszą milicją a wojskami rządowymi nie idą tak dobrze, jak na to liczyliśmy. Musimy pokazać światu, że nie poddamy się łatwo. Pobliskie rotnisko ma co prawda małą wartość strategiczną, ale zajęcie go będzie manifestacją naszej siły!","Битва между нашими войсками и правительством прошла не слишком успешно. Мы должны показать – мы не сдаемся! Ближайший аэропорт – не самая важная стратегическая точка, но победа покажет нашу силу!"
"MISSION_DESR_AIRPORT_PT_2","The rebel forces have scattered after losing their local HQ. The airport is still heavily guarded, but they will not receive any new reinforcements anytime soon. Our Recon-Team managed to set up a small base.  We need to attack before they can pick themselves up!","The rebel forces have scattered after losing their local HQ. The airport is still heavily guarded, but they will not receive any new reinforcements anytime soon. Our Recon-Team managed to set up a small base.  We need to attack before they can pick themselves up!","The rebel forces have scattered after losing their local HQ. The airport is still heavily guarded, but they will not receive any new reinforcements anytime soon. Our Recon-Team managed to set up a small base.  We need to attack before they can pick themselves up!","Las fuerzas rebeldes se han dispersado después de perder su cuartel general local. El aeropuerto todavía está fuertemente vigilado, pero no recibirán ningún refuerzo nuevo en el corto plazo. Nuestro equipo de reconocimiento logró establecer una pequeña base. ¡Necesitamos atacar antes de que puedan levantarse!","Les forces rebelles se sont dispersées après la perte de leur QG local. L'aéroport est toujours fortement gardé mais ils ne recevront pas de renforts de sitôt. Nos éclaireurs ont mis en place une petite base. Nous devons attaquer avant qu'ils ne s'organisent.","反乱軍は、地方司令部を失った後に散在している。 空港は依然として厳重に守られているが、すぐに新しい援軍を受けることはない。 我々の偵察隊は小さな基地を確立した。 彼らが立ち上がれるようになる前に攻撃する必要がある！","Rebelianci zdezorganizowali się po utracie dowódcy. Lotnisko nadal jest silnie bronione, ale nie otrzyma w najbliższym czasie rzadnych posiłków. Zwiadowcom udało się założyć niewielką bazę. Musimy przeprowadzic atak zanim wróg się przegrupuje.","Штаб-квартира повстанцев была уничтожена, но аэропорт все еще хорошо защищен. Они не будут получать подкрепление в течение некоторого времени. Наша команда реконструкции построила маленькую базу недалеко от него. Мы должны захватить аэропорт, пока они ни о чем не догадались."
"MISSION_DESR_AIRPORT_PT_3","It has been months since we started fighting over this wretched airport. It is hardly an airport anymore either, with everything reduced to rubble - the terminal, the tower, the surrounding city. Even so, it is still a symbol of who has the upper hand here, and it should be ours!","It has been months since we started fighting over this wretched airport. It is hardly an airport anymore either, with everything reduced to rubble - the terminal, the tower, the surrounding city. Even so, it is still a symbol of who has the upper hand here, and it should be ours!","It has been months since we started fighting over this wretched airport. It is hardly an airport anymore either, with everything reduced to rubble - the terminal, the tower, the surrounding city. Even so, it is still a symbol of who has the upper hand here, and it should be ours!","Han pasado meses desde que empezamos a luchar por este miserable aeropuerto. Ya casi no es un aeropuerto, con todo reducido a escombros: la terminal, la torre, la ciudad circundante. Aun así, sigue siendo un símbolo de quién tiene la ventaja aquí, ¡y debería ser nuestro!","Cela fait des mois que nous nous battons pour ce tas de ruines qu'est maintenant cet aéroport, son terminal, sa tour de contrôle, la ville avoisinante... Nous devons malgré tout le tenir car il montre que nous contrôlons la situation !","この惨めな空港で戦ってから数ヶ月が経った。 すべてが瓦礫になり、空港は跡形もなくなった - ターミナル、タワー、周辺の都市なども。 それでも、まだ誰がここで優位を持っているかのシンボルだ。そこは我々のものでなければならない！","Minęło już wiele miesięcy odkąd zaczęlismy walczyć o to przeklęte lotnisko. Cięzko już nawet dalej nazywać je lotniskiem, wszystkie budynki są kompletną ruiną - terminal, wieża kontroli lotów, całe miasto dookoła. Mimo to nadal jest ono symbolem tego, kto ma tu przewagę, więc musi być nasze!","Прошли месяцы, как мы уже деремся за этот несчастный аэропорт. Хотя вряд ли это аэропорт — скорее груда хлама из городов и радиовышек. Но это – символ победы, и он должен быть наш!"
"MISSION_DESR_BASE_ASSAULT","Our recent victory gave us a foothold, but we can not stop there. A nearby military base has a lot of equipment we could use! We have to attack before they realise that they are no longer in control of this region.","Our recent victory gave us a foothold, but we can not stop there. A nearby military base has a lot of equipment we could use! We have to attack before they realise that they are no longer in control of this region.","Our recent victory gave us a foothold, but we can not stop there. A nearby military base has a lot of equipment we could use! We have to attack before they realise that they are no longer in control of this region.","Nuestra reciente victoria nos dio un punto de apoyo, pero no podemos detenernos ahí. ¡Una base militar cercana dispone de muchos equipos que podríamos usar! Tenemos que atacar antes de que se den cuenta de que ya no tienen el control de esta región.","Notre récente victoire nous a donné confiance, mais nous ne devons pas en rester là. La base à proximité possède de l'équipement que nous pourrions utiliser ! Nous devons attaquer avant qu'ils réalisent qu'ils ne contrôlent plus cette région.","最近の勝利は我々に足場を与えたが、我々はそこで止まることはできない。 近くの軍事基地には、使用できる設備がたくさんある！ 彼らがもはやこの地域を支配していないことに気づく前に、攻撃する必要がある。","Nasze niedawne zwycięstwo umocniło nas, ale nie możemy na tym poprzestać. Pobliska baza wojskowa posiada dużo sprzętu, który by się nam przydał. Powinniśmy zaatakować, zanim zorientują się, że stracili kontrolę nad tym regionem i rozpoczną mobilizację.","Наша победа дает нам точку опоры, но мы не можем остановиться. Ближайшая база имеет кучу оружия, которое можно использовать. Мы должны его захватить, пока они не догадались, что они не контролируют этот регион."
